trip_id,driver_id,date,duration_min,distance_km,fare,earnings_velocity,motion_events_count,audio_events_count,flagged_moments_count,max_severity,stress_score,trip_quality_rating
TRIP001,DRV107,2024-02-06,18,8.2,145,483.33,8,5,4,high,0.45,good
TRIP002,DRV188,2024-02-06,23,12.4,220,573.91,19,12,7,high,0.58,fair
TRIP003,DRV003,2024-02-06,23,9.8,175,456.52,6,9,3,medium,0.41,good
TRIP004,DRV210,2024-02-06,24,11.2,198,495.0,6,2,4,high,0.51,fair
TRIP005,DRV206,2024-02-06,27,14.5,258,573.33,3,6,3,medium,0.52,fair
TRIP006,DRV077,2024-02-06,23,10.1,182,474.78,3,6,3,low,0.52,fair
TRIP007,DRV095,2024-02-06,27,13.8,245,544.44,7,3,5,medium,0.55,fair
TRIP008,DRV050,2024-02-06,28,15.2,312,668.57,8,4,4,medium,0.42,good
TRIP009,DRV070,2024-02-06,27,12.8,268,595.56,5,5,2,medium,0.61,fair
TRIP010,DRV145,2024-02-06,30,16.5,345,690.0,27,22,8,high,0.67,fair
TRIP011,DRV112,2024-02-06,32,18.7,385,721.88,5,4,4,high,0.64,fair
TRIP012,DRV042,2024-02-06,28,14.2,295,632.14,10,5,4,high,0.63,fair
TRIP013,DRV096,2024-02-06,37,22.5,468,758.92,6,8,4,medium,0.64,fair
TRIP014,DRV032,2024-02-06,22,9.5,168,458.18,13,1,3,high,0.67,fair
TRIP015,DRV111,2024-02-06,28,13.2,235,503.57,2,9,3,low,0.49,good
TRIP016,DRV067,2024-02-06,28,12.8,228,488.57,6,3,3,high,0.61,fair
TRIP017,DRV144,2024-02-06,33,16.2,318,578.18,5,5,4,high,0.6,fair
TRIP018,DRV161,2024-02-06,32,14.5,298,558.75,8,3,3,high,0.58,fair
TRIP019,DRV045,2024-02-06,33,15.8,335,609.09,5,3,2,high,0.53,fair
TRIP020,DRV157,2024-02-06,28,13.2,245,525.0,8,1,2,high,0.63,fair
TRIP021,DRV142,2024-02-06,32,13.5,156,292.5,8,4,4,medium,0.57,fair
TRIP022,DRV048,2024-02-06,27,18.6,224,497.78,12,7,4,high,0.72,poor
TRIP023,DRV091,2024-02-06,30,13.8,196,392.0,3,4,4,medium,0.6,fair
TRIP024,DRV189,2024-02-06,35,16.2,432,740.57,10,1,4,high,0.6,fair
TRIP025,DRV188,2024-02-06,34,8.7,274,483.53,7,3,3,high,0.6,fair
TRIP026,DRV024,2024-02-06,29,17.2,285,589.66,10,7,5,high,0.63,fair
TRIP027,DRV136,2024-02-06,19,9.5,327,1032.63,7,5,3,high,0.67,fair
TRIP028,DRV189,2024-02-06,18,17.2,314,1046.67,6,4,4,high,0.64,fair
TRIP029,DRV106,2024-02-06,29,12.9,168,347.59,2,2,2,medium,0.53,fair
TRIP030,DRV150,2024-02-06,27,15.1,173,384.44,5,2,3,medium,0.53,fair
TRIP031,DRV130,2024-02-06,23,8.2,306,798.26,0,0,0,none,0.0,excellent
TRIP032,DRV043,2024-02-06,36,14.2,355,591.67,0,0,0,none,0.0,excellent
TRIP033,DRV038,2024-02-06,36,8.3,302,503.33,0,0,0,none,0.0,excellent
TRIP034,DRV053,2024-02-06,36,9.2,390,650.0,0,0,0,none,0.0,excellent
TRIP035,DRV185,2024-02-06,28,14.0,313,670.71,0,0,0,none,0.0,excellent
TRIP036,DRV020,2024-02-06,31,10.4,178,344.52,0,0,0,none,0.0,excellent
TRIP037,DRV049,2024-02-06,27,11.2,292,648.89,0,0,0,none,0.0,excellent
TRIP038,DRV088,2024-02-06,25,15.5,187,448.8,0,0,0,none,0.0,excellent
TRIP039,DRV083,2024-02-06,36,12.0,174,290.0,0,0,0,none,0.0,excellent
TRIP040,DRV007,2024-02-06,31,10.5,179,346.45,0,0,0,none,0.0,excellent
TRIP041,DRV118,2024-02-06,27,13.2,416,924.44,0,0,0,none,0.0,excellent
TRIP042,DRV087,2024-02-06,26,15.5,372,858.46,0,0,0,none,0.0,excellent
TRIP043,DRV007,2024-02-06,18,15.5,404,1346.67,0,0,0,none,0.0,excellent
TRIP044,DRV131,2024-02-06,24,15.9,379,947.5,0,0,0,none,0.0,excellent
TRIP045,DRV177,2024-02-06,37,18.2,362,587.03,0,0,0,none,0.0,excellent
TRIP046,DRV191,2024-02-06,19,14.3,326,1029.47,0,0,0,none,0.0,excellent
TRIP047,DRV107,2024-02-06,27,18.1,350,777.78,0,0,0,none,0.0,excellent
TRIP048,DRV001,2024-02-06,38,10.4,351,554.21,0,0,0,none,0.0,excellent
TRIP049,DRV002,2024-02-06,23,11.1,447,1166.09,0,0,0,none,0.0,excellent
TRIP050,DRV170,2024-02-06,22,10.3,265,722.73,0,0,0,none,0.0,excellent
TRIP051,DRV042,2024-02-06,33,14.7,363,660.0,0,0,0,none,0.0,excellent
TRIP052,DRV198,2024-02-06,23,11.3,154,401.74,0,0,0,none,0.0,excellent
TRIP053,DRV149,2024-02-06,35,10.1,161,276.0,0,0,0,none,0.0,excellent
TRIP054,DRV046,2024-02-06,18,8.7,182,606.67,0,0,0,none,0.0,excellent
TRIP055,DRV074,2024-02-06,31,18.8,186,360.0,0,0,0,none,0.0,excellent
TRIP056,DRV026,2024-02-06,22,10.8,432,1178.18,0,0,0,none,0.0,excellent
TRIP057,DRV168,2024-02-06,36,19.4,408,680.0,0,0,0,none,0.0,excellent
TRIP058,DRV107,2024-02-06,37,9.5,300,486.49,0,0,0,none,0.0,excellent
TRIP059,DRV028,2024-02-06,30,17.7,260,520.0,0,0,0,none,0.0,excellent
TRIP060,DRV175,2024-02-06,21,10.1,280,800.0,0,0,0,none,0.0,excellent
TRIP061,DRV148,2024-02-06,19,13.9,331,1045.26,0,0,0,none,0.0,excellent
TRIP062,DRV047,2024-02-06,35,13.1,266,456.0,0,0,0,none,0.0,excellent
