audio_id,trip_id,timestamp,elapsed_seconds,audio_level_db,audio_classification,sustained_duration_sec,audio_severity_score,audio_db_norm,audio_db_log,audio_rolling_mean,audio_rolling_max,audio_rolling_std,is_noise_spike,is_argument_signal,is_sustained_noise,audio_score,sustained_penalty,audio_score_adjusted,audio_above_baseline
AUD064,TRIP001,2024-02-06 06:04:52,292,88,argument,112,5,0.6444444444444445,1.9444826721501687,88.0,88.0,0.0,1,1,1,0.7866666666666666,0.37333333333333335,0.8747733333333334,0
AUD204,TRIP001,2024-02-06 06:08:55,535,91,conversation,0,2,0.6777777777777778,1.9590413923210936,89.5,91.0,2.1213203435596424,1,0,0,0.5666666666666667,0.0,0.5666666666666667,0
AUD189,TRIP001,2024-02-06 06:10:11,611,86,very_loud,27,4,0.6222222222222222,1.9344984512435677,88.33333333333333,91.0,2.516611478423582,1,1,0,0.6933333333333334,0.09,0.7120533333333333,0
AUD156,TRIP001,2024-02-06 06:15:03,903,70,loud,0,3,0.4444444444444444,1.845098040014257,82.33333333333333,91.0,10.969655114602887,0,0,0,0.5066666666666666,0.0,0.5066666666666666,0
AUD149,TRIP001,2024-02-06 06:20:22,1222,80,conversation,0,2,0.5555555555555556,1.9030899869919435,78.66666666666667,86.0,8.082903768654756,0,0,0,0.49333333333333335,0.0,0.49333333333333335,0
AUD072,TRIP001,2024-02-06 06:25:06,1506,61,loud,0,3,0.34444444444444444,1.7853298350107671,70.33333333333333,80.0,9.504384952922164,0,0,0,0.44666666666666666,0.0,0.44666666666666666,0
AUD001,TRIP001,2024-02-06 06:45:00,0,52,quiet,0,0,0.24444444444444444,1.7160033436347992,64.33333333333333,80.0,14.294521094927706,0,0,0,0.14666666666666667,0.0,0.14666666666666667,0
AUD002,TRIP001,2024-02-06 06:46:00,60,55,normal,0,1,0.2777777777777778,1.7403626894942439,56.0,61.0,4.582575694955811,0,0,0,0.24666666666666667,0.0,0.24666666666666667,0
AUD003,TRIP001,2024-02-06 06:50:00,300,58,normal,0,1,0.3111111111111111,1.7634279935629373,55.0,58.0,2.9999999999999516,0,0,0,0.2666666666666667,0.0,0.2666666666666667,1
AUD004,TRIP001,2024-02-06 06:55:00,600,54,normal,0,1,0.26666666666666666,1.7323937598229686,55.666666666666664,58.0,2.0816659994660665,0,0,0,0.24000000000000002,0.0,0.24000000000000002,0
AUD005,TRIP001,2024-02-06 07:00:00,900,56,normal,0,1,0.28888888888888886,1.7481880270062005,56.0,58.0,1.9999999999999332,0,0,0,0.2533333333333333,0.0,0.2533333333333333,0
AUD006,TRIP001,2024-02-06 07:02:00,1020,59,normal,0,1,0.32222222222222224,1.7708520116421442,56.333333333333336,59.0,2.5166114784235334,0,0,0,0.2733333333333333,0.0,0.2733333333333333,1
AUD065,TRIP002,2024-02-06 06:04:18,258,54,normal,0,1,0.26666666666666666,1.7323937598229686,54.0,54.0,0.0,0,0,0,0.24000000000000002,0.0,0.24000000000000002,0
AUD139,TRIP002,2024-02-06 06:04:40,280,95,conversation,0,2,0.7222222222222222,1.9777236052888478,74.5,95.0,28.991378028648448,1,0,0,0.5933333333333333,0.0,0.5933333333333333,0
AUD241,TRIP002,2024-02-06 06:27:37,1657,92,loud,0,3,0.6888888888888889,1.9637878273455553,80.33333333333333,95.0,22.854612955229264,1,0,0,0.6533333333333333,0.0,0.6533333333333333,0
AUD007,TRIP002,2024-02-06 07:15:00,0,51,quiet,0,0,0.23333333333333334,1.7075701760979363,79.33333333333333,95.0,24.583192089989726,0,0,0,0.13999999999999999,0.0,0.13999999999999999,0
AUD008,TRIP002,2024-02-06 07:16:00,60,62,conversation,0,2,0.35555555555555557,1.792391689498254,68.33333333333333,92.0,21.221058723196006,0,0,0,0.3733333333333334,0.0,0.3733333333333334,0
AUD009,TRIP002,2024-02-06 07:18:00,180,68,conversation,0,2,0.4222222222222222,1.8325089127062364,60.333333333333336,68.0,8.621678104251702,0,0,0,0.41333333333333333,0.0,0.41333333333333333,0
AUD010,TRIP002,2024-02-06 07:20:00,300,72,loud,0,3,0.4666666666666667,1.8573324964312685,67.33333333333333,72.0,5.03322295684716,0,0,0,0.52,0.0,0.52,0
AUD011,TRIP002,2024-02-06 07:22:00,420,88,very_loud,30,4,0.6444444444444445,1.9444826721501687,76.0,88.0,10.58300524425836,1,1,0,0.7066666666666668,0.1,0.7278666666666668,1
AUD012,TRIP002,2024-02-06 07:22:30,450,92,very_loud,60,4,0.6888888888888889,1.9637878273455553,84.0,92.0,10.58300524425836,1,1,1,0.7333333333333334,0.2,0.7773333333333334,0
AUD013,TRIP002,2024-02-06 07:23:00,480,95,argument,90,5,0.7222222222222222,1.9777236052888478,91.66666666666667,95.0,3.5118845842842363,1,1,1,0.8333333333333333,0.3,0.9083333333333333,0
AUD014,TRIP002,2024-02-06 07:23:30,510,94,argument,120,5,0.7111111111111111,1.9731278535996986,93.66666666666667,95.0,1.5275252316519194,1,1,1,0.8266666666666667,0.4,0.9258666666666667,0
AUD015,TRIP002,2024-02-06 07:24:00,540,89,very_loud,150,4,0.6555555555555556,1.9493900066449128,92.66666666666667,95.0,3.2145502536643065,1,1,1,0.7133333333333334,0.5,0.8203333333333334,0
AUD016,TRIP002,2024-02-06 07:24:30,570,82,loud,0,3,0.5777777777777777,1.9138138523837167,88.33333333333333,94.0,6.0277137733417,0,0,0,0.5866666666666667,0.0,0.5866666666666667,0
AUD017,TRIP002,2024-02-06 07:25:00,600,75,loud,0,3,0.5,1.8750612633917,82.0,89.0,6.999999999999992,0,0,0,0.54,0.0,0.54,0
AUD018,TRIP002,2024-02-06 07:26:00,660,68,conversation,0,2,0.4222222222222222,1.8325089127062364,75.0,82.0,6.999999999999992,0,0,0,0.41333333333333333,0.0,0.41333333333333333,0
AUD019,TRIP002,2024-02-06 07:30:00,900,61,conversation,0,2,0.34444444444444444,1.7853298350107671,68.0,75.0,6.999999999999992,0,0,0,0.3666666666666667,0.0,0.3666666666666667,0
AUD020,TRIP002,2024-02-06 07:35:00,1200,58,normal,0,1,0.3111111111111111,1.7634279935629373,62.333333333333336,68.0,5.131601439446874,0,0,0,0.2666666666666667,0.0,0.2666666666666667,0
AUD103,TRIP003,2024-02-06 06:01:33,93,91,very_loud,67,4,0.6777777777777778,1.9590413923210936,91.0,91.0,0.0,1,1,1,0.7266666666666668,0.22333333333333333,0.7753533333333334,0
AUD087,TRIP003,2024-02-06 06:10:33,633,75,argument,122,5,0.5,1.8750612633917,83.0,91.0,11.313708498984761,0,1,1,0.7,0.4066666666666667,0.7853999999999999,0
AUD057,TRIP003,2024-02-06 06:11:11,671,92,conversation,0,2,0.6888888888888889,1.9637878273455553,86.0,92.0,9.539392014169456,1,0,0,0.5733333333333334,0.0,0.5733333333333334,0
AUD199,TRIP003,2024-02-06 06:13:40,820,92,quiet,0,0,0.6888888888888889,1.9637878273455553,86.33333333333333,92.0,9.81495457622364,1,0,0,0.41333333333333333,0.0,0.41333333333333333,0
AUD055,TRIP003,2024-02-06 06:14:41,881,88,normal,0,1,0.6444444444444445,1.9444826721501687,90.66666666666667,92.0,2.3094010767585207,1,0,0,0.4666666666666667,0.0,0.4666666666666667,0
AUD099,TRIP003,2024-02-06 06:17:09,1029,91,normal,0,1,0.6777777777777778,1.9590413923210936,90.33333333333333,92.0,2.081665999466154,1,0,0,0.4866666666666667,0.0,0.4866666666666667,0
AUD216,TRIP003,2024-02-06 06:19:15,1155,57,quiet,0,0,0.3,1.7558748556724915,78.66666666666667,91.0,18.823743871327338,0,0,0,0.18,0.0,0.18,0
AUD062,TRIP003,2024-02-06 06:22:54,1374,90,loud,0,3,0.6666666666666666,1.954242509439325,79.33333333333333,91.0,19.347695814575275,1,0,0,0.6399999999999999,0.0,0.6399999999999999,0
AUD078,TRIP003,2024-02-06 06:27:39,1659,93,conversation,0,2,0.7,1.968482948553935,80.0,93.0,19.974984355438185,1,0,0,0.5800000000000001,0.0,0.5800000000000001,0
AUD021,TRIP003,2024-02-06 07:52:00,0,53,quiet,0,0,0.25555555555555554,1.724275869600789,78.66666666666667,93.0,22.278539748675936,0,0,0,0.15333333333333332,0.0,0.15333333333333332,0
AUD022,TRIP003,2024-02-06 07:55:00,180,57,normal,0,1,0.3,1.7558748556724915,67.66666666666667,93.0,22.030282189144415,0,0,0,0.26,0.0,0.26,0
