sensor_id,trip_id,timestamp,elapsed_seconds,accel_x,accel_y,accel_z,speed_kmh,gps_lat,gps_lon,accel_magnitude,accel_lateral,accel_magnitude_smooth,accel_lateral_smooth,accel_delta,is_harsh_brake,is_harsh_accel,is_lateral_swerve,is_moderate_event,motion_score,jerk_score,is_low_speed,is_stationary,harsh_event_rolling5,hour_of_day,minute_of_day,is_rush_hour,is_night,trip_progress_frac,near_trip_start,near_trip_end,audio_score_fused,is_noise_spike,is_argument_signal,is_sustained_noise,audio_level_db_fused,combined_score,stress_severity
ACC167,TRIP001,2024-02-06 06:01:40,100,2.7,1.5,9.6,57,28.6719,77.2565,3.0951575081084326,3.0886890422961004,2.189840382987473,2.1846569448913353,0.0,0,0,1,1,0.6256686808535638,0.0,0,0,0.0,6,361,0,0,0.08410428931875526,1,0,0.8747733333333334,1.0,1.0,1.0,88.0,0.7377657744694601,high
ACC108,TRIP001,2024-02-06 06:12:00,720,1.0,0.8,9.7,53,28.6525,77.2256,1.2845232578665131,1.2806248474865698,2.233054488974529,2.118085737970197,0.043214105987055884,0,0,0,1,0.6380155682784369,0.013750233562516033,0,0,0.0,6,372,0,0,0.6055508830950378,0,0,0.7120533333333333,1.0,1.0,0.0,86.0,0.6713325625531403,medium
ACC117,TRIP001,2024-02-06 06:12:48,768,1.3,1.5,8.6,44,12.843,77.5256,2.319482700948641,1.9849433241279208,2.1286971691546217,2.015285308835353,-0.10435731981990726,0,0,1,1,0.6081991911870348,0.03320530388646063,0,0,0.0,6,372,0,0,0.6459209419680404,0,0,0.5066666666666666,0.0,0.0,0.0,70.0,0.5625095551528692,medium
ACC110,TRIP001,2024-02-06 06:13:48,828,2.2,1.7,9.7,39,12.8335,77.5164,2.7820855486487113,2.7802877548915688,2.8025411001868874,2.615271813056454,0.6738439310322657,0,1,1,0,0.800726028624825,0.2144094208301553,0,0,1.0,6,373,0,0,0.6963835155592936,0,0,0.5066666666666666,0.0,0.0,0.0,70.0,0.6683993157436537,medium
ACC207,TRIP001,2024-02-06 06:15:42,942,2.5,1.8,8.6,54,12.8269,77.5272,3.3060550509633084,3.0805843601498726,3.0944832204487036,2.9407635646778707,0.2919421202618162,0,1,1,0,0.8841380629853439,0.09289263884201447,0,0,2.0,6,375,0,0,0.7922624053826746,0,0,0.5066666666666666,0.0,0.0,0.0,70.0,0.7142759346419392,high
ACC091,TRIP001,2024-02-06 06:19:49,1189,2.9,0.6,8.6,27,19.2009,72.6205,3.195309061734092,2.9614185789921694,2.2416569701491267,2.088536578964007,-0.8528262502995769,0,0,1,1,0.6404734200426077,0.27135954480642155,0,0,2.0,6,379,0,0,1.0,0,1,0.49333333333333335,0.0,0.0,0.0,80.0,0.5742603810234342,medium
ACC001,TRIP001,2024-02-06 06:45:00,0,0.2,0.1,9.8,0,19.1334,72.8291,0.223606797749979,0.223606797749979,1.4263827953961112,1.3464752504246338,-0.8152741747530154,0,0,0,0,0.40753794154174605,0.2594109044787209,1,1,2.0,6,405,0,0,0.0,1,0,0.14666666666666667,0.0,0.0,0.0,52.0,0.29014586784796037,low
ACC002,TRIP001,2024-02-06 06:45:30,30,0.8,0.3,9.7,25,19.1289,72.8312,0.8602325267042629,0.8544003745317532,0.7997113227502775,0.792669057427244,-0.6266714726458338,0,0,0,0,0.22848894935722214,0.1993996848720449,0,0,2.0,6,405,0,0,0.025231286795626577,1,0,0.14666666666666667,0.0,0.0,0.0,52.0,0.1916689221464722,low
ACC003,TRIP001,2024-02-06 06:46:00,60,1.2,0.5,9.6,38,19.1245,72.8345,1.3152946437965907,1.3,0.8779282466654793,0.867204656677237,0.07821692391520185,0,0,0,0,0.2508366419044227,0.024887729314537275,0,0,1.0,6,406,0,0,0.050462573591253154,1,0,0.24666666666666667,0.0,0.0,0.0,55.0,0.24896015304743246,low
ACC004,TRIP001,2024-02-06 06:46:30,90,0.4,0.2,9.7,42,19.1198,72.8378,0.4582575694955844,0.447213595499958,0.6965933264363376,0.6878137871722654,-0.18133492022914166,0,0,0,0,0.19902666469609648,0.057698694656271955,0,0,0.0,6,406,0,0,0.07569386038687972,1,0,0.24666666666666667,0.0,0.0,0.0,55.0,0.22046466558285308,low
